time,SP,PV,PV_meas,OP,Demand
0.0,5.0,-0.33,-0.22670360528471944,5.0,0.55
0.5,5.0,0.014372355198130515,-0.005122165644765326,5.0,0.6031414634623641
1.0,5.0,0.40504551454114884,0.36816249158189485,5.0,0.5062821518156256
1.5,5.0,0.6971912136252201,0.7373683418810775,5.0,0.5094212901419285
2.0,5.0,0.8653688501096171,0.8461577448374731,5.0,0.6625581039058627
2.5,5.0,1.1235979929371605,1.262647971061235,5.0,0.6156918191455689
3.0,5.0,1.3854223054308907,1.2742810042174473,5.0,0.5188216626637029
3.5,5.0,1.563965898984708,1.5588014834681996,5.0,0.5219468622182091
4.0,5.0,1.7219830136720429,1.7425516511681114,5.0,0.5250666467128609
4.5,5.0,1.8319018159592675,1.7940564107746215,5.0,0.5781802463875165
5.0,5.0,1.985863010141354,1.6987347438456077,5.0,0.5312868930080462
5.5,5.0,2.065753877627981,2.049663386823062,5.0,0.5843858200558819
6.0,5.0,2.1932382854868915,2.283255984178138,4.842951870885905,0.5374762629171449
6.5,5.0,2.27978314154114,2.3575940601537417,4.750435008723402,0.5405574590713025
7.0,5.0,2.3266817167982197,2.3621595650152396,4.769508605294853,0.5936286482793085
7.5,5.0,2.425074206163079,2.3152879703281566,4.8713502770909045,0.5466890727711811
8.0,5.0,2.4559658544610605,2.495496800706909,4.608061180477831,0.599737977432971
8.5,5.0,2.540242936072361,2.482899153918137,4.653388423800685,0.5527746099930746
9.0,5.0,2.558686842340637,2.594035132935504,4.499630506043543,0.6057982212078459
9.5,5.0,2.631986500821953,2.644137001962125,4.443026145581329,0.5588080650464607
10.0,5.0,2.580749323907704,2.483111796779367,4.725835355905947,0.7118033988749896
10.5,5.0,2.705510860964373,2.6162652770286825,4.536627134736755,0.5647834836396299
11.0,5.0,2.70674330751203,2.7422455529541816,4.357636237726415,0.6177475840490583
11.5,5.0,2.764863006784343,2.7427516972554926,4.379398889871762,0.5706949687558515
12.0,5.0,2.7602370629863704,2.6762089199206573,4.509105244408293,0.6236249105369356
12.5,5.0,2.783189171437694,2.6909061524650104,4.508680610812678,0.626536686473018
13.0,5.0,2.804004758332778,2.7736216735341563,4.398599560366702,0.6294295781269562
13.5,5.0,2.822935511869664,2.979745991341485,4.089003191961561,0.6323028717210218
14.0,5.0,2.870203376817658,2.817595573596462,4.370267904617634,0.5851558583130145
14.5,5.0,2.736004076060468,2.734602122234709,4.525711405574091,0.837987833971183
15.0,5.0,2.900510215127662,2.910674643896613,4.264888624476079,0.5907980999479093
15.5,5.0,2.9138740190945978,2.8007713799454033,4.462726132998561,0.5935859628521147
16.0,5.0,2.9262297453836847,2.7499464969994154,4.566546480742147,0.5963507348203431
16.5,5.0,2.93769581084492,2.835031737371347,4.452059778773343,0.5990917336864815
17.0,5.0,2.9183766669491806,2.943084404729811,4.299744666952503,0.6518082831500743
17.5,5.0,2.9283644529213775,2.937097558712918,4.329952644992401,0.6544997129431898
18.0,5.0,2.9677404531086435,3.03798111002375,4.188159151794833,0.6071653589957994
18.5,5.0,2.9465763817650026,2.9562513712609144,4.339364220102761,0.6598045635996264
19.0,5.0,2.9549355156889643,2.943980586542044,4.379557669787533,0.6624166755704262
19.5,5.0,2.9328736927305448,2.8724724652380322,4.515245939221572,0.7150010504086557
20.0,5.0,3.00044019205077,3.0889008710370396,4.1880714812327895,0.6175570504584946
20.5,5.0,2.9176785101359966,2.825760496263925,4.630838475907134,0.7700840450651768
21.0,5.0,3.014627044911264,2.903587093181662,4.527280049906938,0.6225814107305954
21.5,5.0,3.0213196988352093,3.0780252505740195,4.267398745573426,0.625048531267141
22.0,5.0,3.027786410570391,2.8944706795050252,4.582141352488766,0.627484797949738
22.5,5.0,2.9740536236868684,3.2155327235527316,4.086286754776909,0.7298896096660367
23.0,5.0,3.040144699855327,3.0481440379112414,4.373627211424181,0.6322623730647303
23.5,5.0,3.0460802831031164,3.080870894735605,4.340455531557843,0.6346025027019546
24.0,5.0,3.0518786209282016,2.971036638475863,4.536479975188671,0.6369094211857378
24.5,5.0,2.967555847379828,2.9360293629556735,4.613131322391418,0.7891825593184629
25.0,5.0,3.0631262326097115,3.020450520921476,4.497852964436919,0.6414213562373094
25.5,5.0,3.008602402864305,2.9544189040974405,4.623959362314402,0.7436252595526377
26.0,5.0,3.013995534418476,3.077291709569459,4.446589956463478,0.7457937254842822
26.5,5.0,3.0493155245364862,3.004357920713958,4.583240439425139,0.697926218995722
27.0,5.0,3.0845711421807245,3.1863212650891426,4.3102358757739525,0.6500222139260919
27.5,5.0,3.0897701608665047,3.356088395878487,4.055047582552216,0.6520811931200062
28.0,5.0,3.064919475777283,3.035365351762628,4.5878507996199644,0.7041026485551579
28.5,5.0,3.040025207004242,3.055256758361905,4.575471981477502,0.7560860814676659
29.0,5.0,3.0750927905534913,3.113040996270042,4.501886790861783,0.7080310024751382
29.5,5.0,3.110127058569552,3.291277539828904,4.233795545769315,0.6599369316974181
30.0,5.0,3.1151323100522545,3.1068675315484358,4.547782883702579,0.6618033988749895
30.5,5.0,3.1201123731929403,3.037210681227104,4.678861737404439,0.6636299434850047
